full_name,flb_team_init,player_id,injured_list
Luis Garcia,MHM,garcilu05,
Raisel Iglesias,MHM,iglesra01,
Cristian Javier,MHM,javiecr01,
Freddy Peralta,MHM,peralfr01,
Jo Adell,KLO,adelljo01,
Dylan Carlson,KLO,carlsdy01,
Luis Garcia,KLO,garcilu04,
Brandon Marsh,KLO,marshbr02,
Luis Robert,KLO,roberlu01,
Tyler Stephenson,KLO,stephty01,
Zach Eflin,KLO,eflinza01,
Bailey Ober,KLO,oberba01,
Nate Pearson,KLO,pearsna01,
Trevor Rogers,KLO,rogertr01,
Ryan Weathers,KLO,weathry01,
Cody Bellinger,KLQ,bellico01,
Andrew Benintendi,KLQ,beninan01,
Mookie Betts,KLQ,bettsmo01,
Garrett Cooper,KLQ,coopega03,
Carlos Correa,KLQ,correca01,
Mitch Garver,KLQ,garvemi01,
Juan Soto,KLQ,sotoju01,
Myles Straw,KLQ,strawmy01,
Dansby Swanson,KLQ,swansda01,
Dylan Cease,KLQ,ceasedy01,
Logan Gilbert,KLQ,gilbelo01,
Tony Gonsolin,KLQ,gonsoto01,Y
Adrian Houser,MHH,housead01,
Jordan Montgomery,KLQ,montgjo01,
Aaron Nola,KLQ,nolaaa01,
Zach Plesac,KLQ,plesaza01,
Taylor Rogers,KLQ,rogerta01,
Ranger Suarez,KLQ,suarera01,
Byron Buxton,GST,buxtoby01,
Jarren Duran,GST,duranja01,
Ryan Jeffers,BFP,jeffery01,
Manny Machado,GST,machama01,
Ryan McMahon,KSS,mcmahry01,
Marcell Ozuna,GST,ozunama01,
Jurickson Profar,MHM,profaju01,
Trea Turner,GST,turnetr01,
Edwin Diaz,BFP,diazed04,
Pierce Johnson,PMT,johnspi01,
Mitch Keller,KSS,kellemi03,
Jesus Luzardo,GST,luzarje01,
Framber Valdez,BFP,valdefr01,
Justin Verlander,BEB,verlaju01,
Austin Hays,KSS,haysau01,
Francisco Lindor,EEB,lindofr01,
Salvador Perez,MHH,perezsa02,
Jorge Polanco,KSS,polanjo01,
Mike Yastrzemski,KSS,yastrmi01,
Chris Bassitt,RHJ,bassich01,
Ryne Stanek,KSS,stanery01,
Taijuan Walker,MHH,walketa01,
