Rank,Player,Age,Position,Org,ProspectRank,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16
103,Michael Busch,27,1B,CHC,,,,,,,,,,,
104,Walker Jenkins,20,OF,MIN,14,,,,,,,,,,
105,Seiya Suzuki,30,OF,CHC,,,,,,,,,,,
106,Bryce Eldridge,21,1B,SFG,15,,,,,,,,,,
107,Matt Shaw,23,3B,CHC,,,,,,,,,,,
108,Sal Stewart,21,1B,CIN,16,,,,,,,,,,
109,Cam Schlittler,24,SP,NYY,,,,,,,,,,,
110,Kyle Bradish,27,SP,BAL,,,,,,,,,,,
111,Jesus Luzardo,26,SP,PHI,,,,,,,,,,,
112,Pablo Lopez,28,SP,MIN,,,,,,,,,,,
113,Dylan Cease,28,SP,FA,,,,,,,,,,,
114,Andres Munoz,25,RP,SEA,,,,,,,,,,,
115,Tyler Glasnow,30,SP,LAD,,,,,,,,,,,
116,Emmet Sheehan,24,SP,LAD,,,,,,,,,,,
117,Shane Bieber,29,SP,TOR,,,,,,,,,,,
118,Gerrit Cole,33,SP,NYY,,,,,,,,,,,
119,MacKenzie Gore,25,SP,WAS,,,,,,,,,,,
120,Nick Pivetta,31,SP,SDP,,,,,,,,,,,
121,Michael King,29,SP,FA,,,,,,,,,,,
122,Nick Lodolo,26,SP,CIN,,,,,,,,,,,
123,Rainiel Rodriguez,18,C,STL,17,,,,,,,,,,
124,Framber Valdez,30,SP,FA,,,,,,,,,,,
125,Kevin Gausman,33,SP,TOR,,,,,,,,,,,
126,Jhoan Duran,26,RP,PHI,,,,,,,,,,,
127,Carson Benge,22,OF,NYM,18,,,,,,,,,,
128,Edwin Diaz,30,RP,FA,,,,,,,,,,,
129,Ozzie Albies,28,2B,ATL,,,,,,,,,,,
130,Maikel Garcia,25,3B,KCR,,,,,,,,,,,
131,Willy Adames,29,SS,SFG,,,,,,,,,,,
132,Alex Bregman,31,3B,FA,,,,,,,,,,,
133,Byron Buxton,31,OF,MIN,,,,,,,,,,,
134,Josue De Paula,20,OF,LAD,19,,,,,,,,,,
135,Royce Lewis,26,3B,MIN,,,,,,,,,,,
136,Cam Smith,22,OF,HOU,,,,,,,,,,,
137,Jacob Wilson,23,SS,ATH,,,,,,,,,,,
138,Eduardo Quintero,20,OF,LAD,20,,,,,,,,,,
139,Isaac Paredes,29,3B,HOU,,,,,,,,,,,
140,Colt Emerson,20,SS,SEA,21,,,,,,,,,,
141,Dylan Crews,23,OF,WAS,,,,,,,,,,,
142,Will Smith,30,C,LAD,,,,,,,,,,,
143,Kyle Manzardo,24,1B,CLE,,,,,,,,,,,
144,Caleb Bonemer,20,SS,CWS,22,,,,,,,,,,
145,Jo Adell,26,OF,LAA,,,,,,,,,,,
146,Ivan Herrera,25,C,STL,,,,,,,,,,,
147,Cade Smith,26,RP,CLE,,,,,,,,,,,
148,Steven Kwan,27,OF,CLE,,,,,,,,,,,
149,Addison Barger,25,3B,TOR,,,,,,,,,,,
150,Luis Robert Jr.,27,OF,CWS,,,,,,,,,,,
151,Luis Pena,18,SS,MIL,23,,,,,,,,,,
