Rank,Change,Player,Team,POS.,SEC.POS.,Age,ETA,Prospect,August
97,-20,Lawrence Butler,OAK,OF,-,25.71,-,-,77
98,10,Jhoan Duran,PHI,RHP,-,27.6,-,-,108
99,-5,Jacob Wilson,ATH,SS,-,23.99,-,-,94
100,50,Nico Hoerner,CHC,2B,SS*,28.87,-,-,150
101,-10,Chase Burns,CIN,RHP,-,23.19,-,7,91
102,15,Jesús Luzardo,PHI,LHP,-,28.49,-,-,117
103,10,Hunter Goodman,COL,C,-,26.46,-,-,113
104,-20,Sebastian Walcott,TEX,SS,3B,20.03,2026,8,84
105,10,Randy Arozarena,SEA,OF,-,31.08,-,-,115
106,56,Emmet Sheehan,LAD,RHP,-,26.36,-,-,162
107,195,Cam Schlittler,NYY,RHP,-,25.14,-,-,302
108,-16,Ezequiel Tovar,COL,SS,-,24.65,-,-,92
109,130,Ben Rice,NYY,1B,C,27.09,-,-,239
110,0,Samuel Basallo,BAL,C,1B,21.62,-,9,110
111,40,Gavin Williams,CLE,RHP,-,26.66,-,-,151
112,20,Bubba Chandler,PIT,RHP,-,23.53,-,10,132
113,50,Agustín Ramírez,MIA,C,-,24.54,-,-,163
114,-50,MacKenzie Gore,WAS,LHP,-,27.09,-,-,64
115,-35,Drew Rasmussen,TB,RHP,-,30.66,-,-,80
116,-2,Jac Caglianone,KC,OF,1B^,23.13,-,-,114
117,60,Noelvi Marte,CIN,OF,3B,24.44,-,-,177
118,-15,Shane Baz,TB,RHP,-,26.77,-,-,103
119,75,Drake Baldwin,ATL,C,-,24.99,-,-,194
120,0,Edward Cabrera,MIA,RHP,-,27.95,-,-,120
121,-35,Will Smith,LAD,C,-,30.99,-,-,86
122,-20,Luis Peña,MIL,SS,"3B, 2B",19.37,2028,11,102
123,10,Willy Adames,SF,SS,-,30.56,-,-,133
124,0,Kyle Stowers,MIA,OF,-,28.23,-,-,124
125,0,Andrés Muñoz,SEA,RHP,-,26.58,-,-,125
126,0,Max Clark,DET,OF,-,21.26,2026,12,126
127,0,Pablo López,MIN,RHP,-,30.05,-,-,127
128,-30,Jasson Domínguez,NYY,OF,-,23.13,-,-,98
129,30,Nick Pivetta,SD,RHP,-,33.11,-,-,159
130,10,Walker Jenkins,MIN,OF,-,21.1,2026,13,140
131,10,Bryce Eldridge,SF,1B,-,21.43,-,14,141
132,10,Edwin Díaz,-,RHP,-,31.4,-,-,142
133,-32,Luis Robert Jr.,CHW,OF,-,28.64,-,-,101
134,15,Colt Emerson,SEA,SS,3B,20.68,2026,15,149
135,60,Aidan Miller,PHI,SS,-,21.79,2026,16,195
136,10,Mason Miller,SD,RHP,-,26.98,-,-,146
137,-55,Alex Bregman,-,3B,-,31.99,-,-,82
138,-50,Carlos Rodón,NYY,LHP,-,33.29,-,-,88
139,-10,Spencer Torkelson,DET,1B,-,26.58,-,-,129
140,35,Sal Stewart,CIN,3B,"1B, 2B",22.3,-,17,175
141,45,Edward Florentino,PIT,OF,1B,19.37,2028,18,186
142,-36,Ceddanne Rafaela,BOS,OF,2B,25.52,-,-,106
143,-15,Josue De Paula,LAD,OF,-,20.84,2027,19,128
144,30,Jonathan Aranda,TB,1B,-,27.84,-,-,174
145,-10,Christian Yelich,MIL,DH,OF^,34.31,-,-,135
146,160,Jo Adell,LAA,OF,-,26.96,-,-,306
147,20,Eduardo Quintero,LAD,OF,-,20.53,2027,20,167
148,-5,Josh Hader,HOU,LHP,-,31.36,-,-,143
149,-30,Tanner Bibee,CLE,RHP,-,27.06,-,-,119
150,-50,Tyler Glasnow,LAD,RHP,-,32.59,-,-,100
151,60,Isaac Paredes,HOU,3B,-,27.1,-,-,211
152,-30,Zyhir Hope,LAD,OF,-,21.18,2027,21,122
153,55,Payton Tolle,BOS,LHP,-,23.4,-,22,208
154,64,Royce Lewis,MIN,3B,-,26.81,-,-,218
155,-60,Michael King,-,RHP,-,30.83,-,-,95
156,5,Andrew Painter,PHI,RHP,-,22.96,2026,23,161
157,0,Jett Williams,NYM,SS,"2B, OF",22.39,2026,24,157
158,0,Kris Bubic,KC,LHP,-,28.6,-,-,158
